,Material,Current (A),Voltage(V),Wire feed spped(m/min),Bead width(mm),Bead Height (mm),Bead Penetration(mm),step_over_dist(mm)
182,0.7072072072072072,222.55,30.63,2.0,13.9,2.1,2.2,9.266666666666666
183,0.7072072072072072,246.54,31.12,2.0,12.9,2.3,2.0,8.6
184,0.7072072072072072,209.37,30.91,2.0,12.0,2.2,1.9,8.0
185,0.7072072072072072,218.31,31.22,2.0,13.7,2.0,1.7,9.133333333333333
186,0.7072072072072072,221.94,31.06,2.0,11.2,2.1,1.6,7.466666666666666
187,0.7072072072072072,221.29,31.17,2.0,12.7,2.0,1.4,8.466666666666665
188,0.7072072072072072,198.19,30.99,2.0,11.7,2.1,1.3,7.799999999999999
189,0.7072072072072072,199.51,30.99,2.0,12.8,2.1,1.5,8.533333333333333
190,0.7072072072072072,275.0,24.0,10.75,17.41,2.9,3.35,11.606666666666666
191,0.7072072072072072,275.0,26.0,10.75,15.03,2.51,3.38,10.02
192,0.7072072072072072,300.0,24.0,10.75,17.5,2.92,4.62,11.666666666666666
193,0.7072072072072072,300.0,26.0,10.75,14.33,2.39,4.18,9.553333333333333
194,0.7072072072072072,275.0,24.0,4.75,17.2,2.87,4.27,11.466666666666665
195,0.7072072072072072,275.0,26.0,4.75,15.4,2.57,2.79,10.266666666666666
196,0.7072072072072072,300.0,24.0,4.75,14.18,2.36,2.54,9.453333333333333
197,0.7072072072072072,300.0,26.0,4.75,14.1,2.35,3.45,9.399999999999999
198,0.7072072072072072,275.0,24.0,10.75,14.7,2.45,4.32,9.799999999999999
199,0.7072072072072072,275.0,26.0,10.75,16.86,2.81,4.95,11.239999999999998
200,0.7072072072072072,300.0,24.0,10.75,14.22,2.37,2.72,9.48
201,0.7072072072072072,300.0,26.0,10.75,11.7,1.95,3.02,7.799999999999999
202,0.7072072072072072,275.0,24.0,4.75,14.8,2.47,4.92,9.866666666666667
203,0.7072072072072072,275.0,26.0,4.75,14.32,2.39,4.01,9.546666666666667
204,0.7072072072072072,300.0,24.0,4.75,14.44,2.41,4.55,9.626666666666665
205,0.7072072072072072,300.0,26.0,4.75,14.32,2.39,4.42,9.546666666666667
206,0.7072072072072072,300.0,23.0,4.5,14.58,2.43,4.32,9.719999999999999
207,0.7072072072072072,300.0,27.0,4.5,14.35,2.39,4.34,9.566666666666666
208,0.7072072072072072,250.0,25.0,4.5,13.85,2.31,4.31,9.233333333333333
209,0.7072072072072072,325.0,25.0,4.5,14.02,2.34,4.12,9.346666666666666
210,0.7072072072072072,300.0,25.0,4.5,14.28,2.38,4.54,9.52
211,0.7072072072072072,300.0,25.0,4.5,13.5,2.25,4.47,9.0
212,0.7072072072072072,300.0,25.0,4.0,13.47,2.25,3.42,8.98
213,0.7072072072072072,300.0,25.0,5.0,13.84,2.31,3.38,9.226666666666667
214,0.7072072072072072,300.0,25.0,4.5,16.83,2.81,4.12,11.219999999999999
215,0.7072072072072072,300.0,25.0,4.5,12.54,2.09,4.04,8.36
216,0.7072072072072072,300.0,25.0,4.5,16.02,2.67,5.57,10.68
217,0.7072072072072072,300.0,25.0,4.5,13.73,2.29,3.66,9.153333333333332
218,0.7072072072072072,300.0,25.0,4.5,13.83,2.31,3.72,9.219999999999999
219,0.7072072072072072,300.0,25.0,4.5,12.92,2.15,3.82,8.613333333333333
220,0.7072072072072072,300.0,25.0,4.5,13.03,2.17,4.42,8.686666666666666
221,0.7072072072072072,300.0,25.0,4.5,14.84,2.47,4.57,9.893333333333333
